epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.330774,0.5918,1.383055,0.5938,3.00e-05
2,1.252139,0.6435,1.319278,0.5938,2.97e-05
3,1.223014,0.6557,1.319708,0.5906,2.87e-05
4,1.208750,0.6620,1.326898,0.5875,2.72e-05
5,1.145186,0.7055,1.230057,0.6562,2.52e-05
6,1.109283,0.7302,1.207299,0.6625,2.28e-05
7,1.075552,0.7400,1.206806,0.6687,2.00e-05
8,1.058344,0.7584,1.166374,0.6937,1.70e-05
9,1.046651,0.7541,1.153968,0.6969,1.40e-05
10,0.991442,0.7824,1.144672,0.7094,1.10e-05
11,0.979796,0.8000,1.140214,0.7125,8.25e-06
12,0.983785,0.7894,1.140722,0.7094,5.80e-06
13,0.956661,0.8075,1.139533,0.7031,3.77e-06
14,0.967603,0.8055,1.130770,0.7094,2.25e-06
15,0.970063,0.8149,1.132966,0.7031,1.32e-06
16,0.933678,0.8278,1.123681,0.7156,1.00e-06
17,0.935243,0.8259,1.121422,0.7063,1.32e-06
18,0.944156,0.8173,1.122077,0.7000,2.25e-06
19,0.931824,0.8188,1.135988,0.7219,3.77e-06
20,0.915756,0.8294,1.128337,0.7125,5.80e-06
